[2018-10-08 15:21:18 *32700.2]	ERROR	zm_deactivate_swoole (ERROR 503): Fatal error: Cannot declare class App\HttpController\User, because the name is already in use in /usr/htdocs/linux/easyswoole/App/HttpController/Admin/User.php on line 13.
[2018-10-08 15:21:18 $32688.0]	WARNING	swManager_check_exit_status: worker#2 abnormal exit, status=255, signal=0
[2018-10-08 15:28:29 *632.2]	ERROR	zm_deactivate_swoole (ERROR 503): Fatal error: Declaration of App\HttpController\Admin\User::actionNotFound($action) must be compatible with EasySwoole\Core\Http\AbstractInterface\Controller::actionNotFound($action): void in /usr/htdocs/linux/easyswoole/App/HttpController/Admin/User.php on line 7.
[2018-10-08 15:28:29 $620.0]	WARNING	swManager_check_exit_status: worker#2 abnormal exit, status=255, signal=0
[2018-10-08 15:29:38 *714.2]	ERROR	zm_deactivate_swoole (ERROR 503): Fatal error: Declaration of App\HttpController\Admin\User::actionNotFound($action) must be compatible with EasySwoole\Core\Http\AbstractInterface\Controller::actionNotFound($action): void in /usr/htdocs/linux/easyswoole/App/HttpController/Admin/User.php on line 7.
[2018-10-08 15:29:38 $702.0]	WARNING	swManager_check_exit_status: worker#2 abnormal exit, status=255, signal=0
[2018-10-08 15:32:08 *855.2]	ERROR	zm_deactivate_swoole (ERROR 503): Fatal error: Declaration of App\HttpController\Admin\User::actionNotFound($action) must be compatible with EasySwoole\Core\Http\AbstractInterface\Controller::actionNotFound($action): void in /usr/htdocs/linux/easyswoole/App/HttpController/Admin/User.php on line 7.
[2018-10-08 15:32:08 $843.0]	WARNING	swManager_check_exit_status: worker#2 abnormal exit, status=255, signal=0
[2018-10-08 16:03:38 #7096.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:06:02 #7096.1]	NOTICE	Server is shutdown now.
[2018-10-08 16:06:02 #7096.1]	ERROR	swFactoryProcess_shutdown(:57): kill(7099) failed. Error: No such process[3].
[2018-10-08 16:06:02 #7096.1]	ERROR	swFactoryProcess_shutdown(:62): waitpid(7099) failed. Error: No child processes[10].
[2018-10-08 16:06:02 #7291.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:10:49 #7779.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:13:09 #7779.1]	NOTICE	Server is shutdown now.
[2018-10-08 16:13:09 #7779.1]	ERROR	swFactoryProcess_shutdown(:57): kill(7782) failed. Error: No such process[3].
[2018-10-08 16:13:09 #7779.1]	ERROR	swFactoryProcess_shutdown(:62): waitpid(7782) failed. Error: No child processes[10].
[2018-10-08 16:13:09 #8189.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:14:41 #8189.1]	NOTICE	Server is shutdown now.
[2018-10-08 16:14:41 #8189.1]	ERROR	swFactoryProcess_shutdown(:57): kill(8192) failed. Error: No such process[3].
[2018-10-08 16:14:41 #8189.1]	ERROR	swFactoryProcess_shutdown(:62): waitpid(8192) failed. Error: No child processes[10].
[2018-10-08 16:15:09 #8341.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:16:37 #8341.1]	NOTICE	Server is shutdown now.
[2018-10-08 16:16:37 #8341.1]	ERROR	swFactoryProcess_shutdown(:57): kill(8344) failed. Error: No such process[3].
[2018-10-08 16:16:37 #8341.1]	ERROR	swFactoryProcess_shutdown(:62): waitpid(8344) failed. Error: No child processes[10].
[2018-10-08 16:20:32 *8475.7]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8474.6]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8473.5]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8472.4]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8471.3]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8470.2]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8469.1]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 *8468.0]	WARNING	swSignalfd_onSignal: signal[1] callback is null.
[2018-10-08 16:20:32 $8458.0]	WARNING	swSignal_callback: signal[1] callback is null.
[2018-10-08 16:20:39 #8889.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:20:54 #8889.1]	NOTICE	Server is shutdown now.
[2018-10-08 16:20:54 #8889.1]	ERROR	swFactoryProcess_shutdown(:57): kill(8892) failed. Error: No such process[3].
[2018-10-08 16:20:54 #8889.1]	ERROR	swFactoryProcess_shutdown(:62): waitpid(8892) failed. Error: No child processes[10].
[2018-10-08 16:21:14 #8982.1]	WARNING	swServer_signal_hanlder: Fatal Error: manager process exit. status=0, signal=10.
[2018-10-08 16:27:59 #8982.1]	NOTICE	Server is shutdown now.
[2018-10-08 16:27:59 #8982.1]	ERROR	swFactoryProcess_shutdown(:57): kill(8985) failed. Error: No such process[3].
[2018-10-08 16:27:59 #8982.1]	ERROR	swFactoryProcess_shutdown(:62): waitpid(8985) failed. Error: No child processes[10].
